title_id,name,category,playtime_forever,trophy_level,trophy_platinum,trophy_gold,trophy_silver,trophy_bronze
CUSA02299_00,Spider-Man,PS4,166.1,203,0,26,147,644
CUSA07408_00,God of War,PS4,161.51,203,0,26,147,644
CUSA06584_00,Harvest Moon: AWL,PS4,123.93,203,0,26,147,644
PPSA08329_00,God of War Ragnarok,PS5,79.36,203,0,26,147,644
PPSA03016_00,Marvel's Spider-Man 2,PS5,44.07,203,0,26,147,644
PPSA11386_00,007 First Light,PS5,35.42,203,0,26,147,644
CUSA10992_00,Injustice 2,PS4,34.98,203,0,26,147,644
CUSA00133_00,Batman: Arkham Knight,PS4,32.57,203,0,26,147,644
CUSA00223_00,inFAMOUS Second Son,PS4,18.18,203,0,26,147,644
CUSA57548_00,Call of Duty®: Black Ops II,PS4,15.53,203,0,26,147,644
CUSA17722_00,Spider-Man: Miles Morales,UNKNOWN,14.98,203,0,26,147,644
CUSA05724_00,Overcooked,PS4,14.0,203,0,26,147,644
CUSA10237_00,Horizon Zero Dawn™,PS4,10.86,203,0,26,147,644
PPSA01649_00,Call of Duty®,PS5,8.86,203,0,26,147,644
PPSA03396_00,The Last of Us™ Part I,PS5,5.35,203,0,26,147,644
CUSA12581_00,FIFA 19,PS4,5.19,203,0,26,147,644
CUSA02320_00,Uncharted™: The Nathan Drake Collection,PS4,3.19,203,0,26,147,644
CUSA02412_00,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,PS4,2.57,203,0,26,147,644
PPSA16833_00,LEGO® Batman™: Legacy of the Dark Knight,PS5,2.55,203,0,26,147,644
CUSA00768_00,NBA 2K15,UNKNOWN,2.35,203,0,26,147,644
CUSA12539_00,STAR WARS Jedi: Fallen Order™,UNKNOWN,2.16,203,0,26,147,644
CUSA04195_00,Brawlhalla,PS4,1.15,203,0,26,147,644
PPSA34502_00,Call of Duty®: Black Ops II,PS5,0.95,203,0,26,147,644
CUSA00900_00,Bloodborne™,PS4,0.75,203,0,26,147,644
PPSA06981_00,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,PS5,0.64,203,0,26,147,644
PPSA03974_00,Cyberpunk 2077,PS5,0.14,203,0,26,147,644
PPSA01665_00,Twitch,UNKNOWN,0.09,203,0,26,147,644
CUSA08829_00,Call of Duty®: Modern Warfare®,UNKNOWN,0.01,203,0,26,147,644
CUSA07553_00,Horizon Zero Dawn™,PS4,0.01,203,0,26,147,644
CUSA03041_00,Red Dead Redemption 2,UNKNOWN,0.0,203,0,26,147,644
