Book Id,Title,ISBN,ISBN13,Authors,Publisher,Year Published,Date Added,Date Read,Number of Pages,My Rating,Average Rating,My Review,Spoiler,Private Notes,Owned Copies,Exclusive Shelf,Read Count,Bookshelves
53776382,I Will Teach You to Be Rich: No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works.,152350787X,,Ramit Sethi,,2009,2026/08/03,2026/07/30,353,5,4.4,"This changed my perspective on finances at a core level. Also, Ramit has a wicked sense of humor.",,,0,read,1,read
26073005,The Grid: The Fraying Wires Between Americans and Our Energy Future,1608196100,,Gretchen Bakke,,2016,2025/06/22,2024/06/22,384,4,3.81,"This book emphasizes the importance of 20th century innovation and systems in building modern society. Without electric power generation and distribution; we'd have been unable to operate businesses 24/7, have limited light in the nighttime, and we'd have a hell of a hard time heating our homes in wintertime. This book is a bit hard to digest in some places, but it explores the politics of metering, difficult problem of maintaining-revitalizing our electrical network, and accounts key historic milestones. It's clear that innovation for power distribution needs to continue such that we have totally reliable and accessible access to energy.",,,0,read,1,read
53138083,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",1250267595,,Colin Bryar,,2021,2025/06/22,2022/07/01,304,5,4.15,Really insightful look within Amazon's business operations. I think there was a lot to learn here in terms of both their history as a tech giant as well as how we can apply these methods to our own processes.,,,0,read,1,read
472331,Watchmen,0930289234,,Alan Moore,,1987,2025/06/22,2018/04/01,416,5,4.39,"This is somehow a superhero graphic novel, a commentary on Western society, a spoof of iconic characters, and a reflection on the 20th century climate. Seeing the world as black and white as opposed to a moral gray area is highly emphasized here. What if superheroes weren't the undisputed good? What if they had individual agendas separated from moral values? From the Comedian to Rorschach to Dr. Manhattan, this book is made by its tainted characters. The ending here is thought invoking - something missing from superhero literature targeted to pre-adolescent boys. What if we could do something horrific for a good intended outcome? Does the ends justify the means? I'm really glad Alan Moore created this historic piece of art, which was released before the iconic Batman Killing Joke novel. It really shows that comic books have potential to match the deep introspective reflection of classic novels (1984).",,,0,read,1,read
36147818,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",,,Ashlee Vance,,2015,2023/07/15,2023/02/01,392,4,4.34, ,,,0,read,1,read
18492257,Lean Customer Development: Building Products Your Customers Will Buy,1449356354,,Cindy Alvarez,,2014,2023/07/15,2022/05/01,236,4,4.19,"This book contains a really solid guideline for customer interviews. There are nuances in here which really demonstrate Cindy's unique brand as a Product Manager. I find it genius how she uses notes to remind herself her job during her sessions : ""You are a notetaker. Stop talking"". This has lead me to considering adopting UX Research habits aligning with the idea that we are there to observe and to learn; so let's keep quiet and listen as much as we can.",,,0,read,1,read
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,,,Meg Jay,,2012,2023/04/29,2023/04/01,273,5,4.09,The underlying theme of this book is that we have less time than we think we do. It encourages proactive planning and decision making towards meaningful things.,,,0,read,1,read
59783101,Build: An Unorthodox Guide to Making Things Worth Making – An NYT Bestselling Entrepreneurship and Product Design Manual,0063046075,,Tony Fadell,,,2022/11/13,2022/11/12,414,5,4.46,"I'm not much of a reader - I read incredibly slow and it takes forever for me to advance through ~400 pages. This book was like listening to a story, it was learning from an incredible series of experiences by the engineer, business executive, innovator, etc. behind the modern day smartphone, smart home technology. I was not familiar with Tony Fadell prior to reading this book, but they advice he gives here makes it clear that he is an incredibly driven, yet grounded person. Tony's lessons here are very much to gravitate towards good, purpose-driven teams and make things better through the products you make. His description of what we call ""common sense"" is very perceptive : it's common, but not shared. I want to read this book again soon when I'm in need of a mentor. It is 100% a mentor in a box, as Tony described it at the start of the book.",,,0,read,1,read
36146637,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,0735216363,,Annie Duke,,2018,2022/08/07,2022/08/01,288,4,3.95,"This book helped solidify learnings from both personal and professional experience : nothing is ever certain. Whenever we make a decision, it is based on whatever knowledge we have available. Decisions are effectively bets. This is a great take on the idea that all we really have control over is the decisions we make with finite information. I think I'll appreciate this more in the future, but overall a solid read. If anything, my key takeaway is that ""Life is a game of poker, not chess"".",,,0,read,1,read
83847,Computer Networking: A Top-Down Approach,0321497708,,James F. Kurose,,2000,2026/04/03,,880,0,4.15, ,,,0,currently-reading,0,currently-reading
39694464,"101 Questions You Need to Ask in Your Twenties: (And Let's Be Honest, Your Thirties Too)",0802496539,,Paul Angone,,,2026/02/07,,257,0,3.78, ,,,0,currently-reading,0,currently-reading
122765395,Elon Musk,1982181281,,Walter Isaacson,,2023,2025/06/22,,688,0,4.25, ,,,0,currently-reading,0,currently-reading
215180148,The BESS Book: A Cell-to-Grid Guide to Utility-Scale Battery Energy Storage Systems,,,Drew Lebowitz,,,2025/06/22,,603,0,4.43, ,,,0,currently-reading,0,currently-reading
55716079,Shorting the Grid: The Hidden Fragility of Our Electric Grid,0989119092,,Meredith Angwin,,,2026/05/21,,442,0,3.9, ,,,0,to-read,0,to-read
49195924,No Rules Rules: Netflix and the Culture of Reinvention,1984877879,,Reed Hastings,,2020,2025/06/22,,320,0,4.41, ,,,0,to-read,0,to-read
19145267,"Thinking, Fast and Slow",0385676522,,Daniel Kahneman,,2011,2025/06/22,,512,0,4.34, ,,,0,to-read,0,to-read
11297044,Steve Jobs,,,Walter Isaacson,,2011,2023/07/15,,656,0,4.3, ,,,0,to-read,0,to-read
30257963,12 Rules for Life: An Antidote to Chaos,0345816021,,Jordan B. Peterson,,2018,2023/04/29,,409,0,3.89, ,,,0,to-read,0,to-read
60097435,Quit: The Power of Knowing When to Walk Away,0593422996,,Annie Duke,,2022,2023/04/29,,336,0,4.12, ,,,0,to-read,0,to-read
